reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c8f46ffa-b205-4773-a64f-9c30cb315e45,Soham Satre,https://play-lh.googleusercontent.com/a/ACg8ocKUIDHXK95d_5LAP3t-dt-oM1bSHi6O1TfHKc8nffO_XE_-6g=mo,Their lip serum is not just a beauty product; it's a treatment that has healed my perpetually dry lips.,5,1,,2024-06-23 10:03:48,,,
75b04294-cf03-4f61-bc82-7e0cb0b9cf22,Krishpreet Kaur,https://play-lh.googleusercontent.com/a/ACg8ocLSLfR2gDAjfNu8V_EZEPEWA34tkTA9bTJsI2t0vm3qYp2HmHU=mo,Pilgrim's incorporation of Spanish Rosemary in their products is a game-changer for hair health.,5,0,11.0.9,2024-06-23 06:55:54,,,11.0.9
80ef698a-ab7c-46a1-9ca8-08823b3254ae,Kukkala Venkanna babu,https://play-lh.googleusercontent.com/a-/ALV-UjUs3RvaBIzlEYNOp33K4KtN2qElxp57xdEO9y4j6HXwb5G3Qj57,"I've been using the brightening serum for several weeks, and my friends have started asking what I've done differently—my skin looks so bright and clear.",5,0,11.0.5,2024-06-23 00:19:36,"Gracias for sharing your experience! We're thrilled that the Spanish Rosemary worked wonders for your hair. Your feedback is valuable to us. If there's anything we can do to turn that 2-star into a 5-star, please let us know. We want to ensure your satisfaction and continue delivering the best.",2024-01-22 03:54:54,11.0.5
d025ed9f-52cd-4e86-9376-0fb32e9f3367,pavan kumar,https://play-lh.googleusercontent.com/a/ACg8ocIauiZbm5Y-LGRbfw0U5Kd2mt8uLd-pd6Yi0QmmX9aQYBITd3TP=mo,"The Spanish rosemary secrets incorporated into the lip serum give it a unique, calming scent and feel, making it a pleasure to use.",5,0,,2024-06-22 15:02:56,,,
29776ef9-8ca0-46aa-b170-208132c74edd,Kanchi Madhuri,https://play-lh.googleusercontent.com/a/ACg8ocLYdJry46NIY6u10crZdlmguUTHJq4dkhh2nVdGYdbyV5DPCQ=mo,The glow moisturizer from Pilgrim is my new favorite! It keeps my skin hydrated all day without feeling heavy or greasy.,5,1,,2024-06-22 13:51:06,,,
8c7dd30d-dc99-466e-af72-6dfd93701a38,graghu grreddy,https://play-lh.googleusercontent.com/a/ACg8ocKX-G5ReMRfWlPMfwjYtPIkpyYfnPPYgbkjdHyl1gESnsL-DQ=mo,"Grabbing items during a Pilgrim flash sale is highly recommended. The prices are unbeatable, and the quality doesn't suffer.",5,2,11.0.9,2024-06-22 12:53:58,,,11.0.9
2a34006c-29f0-47b8-8769-bf7f2b0e998b,Ashu Roll No. 39,https://play-lh.googleusercontent.com/a-/ALV-UjUnmzFwKHqrVrMTkFSOG35pthLD-mTxjxCeKftprH9rD0E1pNfT,Discovering the Korean beauty secrets in these products has made a fan out of me!,5,0,11.0.9,2024-06-22 10:25:35,,,11.0.9
e03d30fc-a44b-40cb-aa10-92e7d87c7412,mahesh bandela,https://play-lh.googleusercontent.com/a-/ALV-UjWIImzYUIeS5Il4m4C9Alxnc7l2m63uumcOjejOzn3N_FKDmyI,"The hair care series, especially the hair growth serum, has been transformative for my routine. It's helped reduce hair fall significantly.",5,5,11.0.9,2024-06-22 04:57:29,,,11.0.9
0e7795fa-9618-4ddb-8fba-6f9b6cfb3887,Pardeep Kumar,https://play-lh.googleusercontent.com/a/ACg8ocJzdHlmzWLxZIFZemjWH_-SCgoLarwAmgUr_XAgQNNJS2pPYQ=mo,The lip serum from Pilgrim is fantastic for daily use. It hydrates deeply and adds a nice shine without being sticky or too glossy.,5,0,,2024-06-21 18:21:47,"Wow, we're thrilled to hear our Sulfate Free Shampoo has worked wonders for your hair! Say goodbye to frizz and hello to smooth, manageable tresses. Thank you for sharing your glowing experience! We're dedicated to providing top-notch hair care solutions for our amazing customers like you.",2024-03-26 04:18:57,
5b71aeeb-2f4d-432f-ad74-3b7d37f53afc,Vivek kumar Yeligeti,https://play-lh.googleusercontent.com/a-/ALV-UjVNyFKuM4V_7WQiOhEsOh10sHnXdczoGE49w4QOZo2diBppxfVD,Their brightening serum is a lifesaver for dull skin. It helped even out my skin tone and added a lovely glow that many have complimented.,5,0,,2024-06-21 16:52:31,,,
